,nombres,edades,generos,ciudades,hijos,mascotas,vehiculos,salario
0,persona_0,52,F,Chía,2,5,1,4169
1,persona_1,54,F,Chía,0,2,0,6815
2,persona_2,63,F,Bogotá,3,2,2,2648
3,persona_3,60,F,Bogotá,0,0,2,4627
4,persona_4,32,M,Bogotá,2,4,2,1227
5,persona_5,22,M,Tenjo,2,5,0,5669
6,persona_6,47,M,Chía,3,4,2,3922
7,persona_7,60,F,Cajica,2,4,0,5264
8,persona_8,42,F,Tenjo,1,0,2,4888
9,persona_9,61,F,Chía,2,0,2,3351
10,persona_10,23,F,Tenjo,3,1,0,6146
11,persona_11,48,F,Cajica,2,1,0,4125
12,persona_12,25,M,Zipa,2,5,1,5018
13,persona_13,22,M,Tenjo,2,3,1,1784
14,persona_14,47,F,Tenjo,2,1,2,4322
15,persona_15,44,F,Tenjo,3,5,1,904
16,persona_16,31,M,Cajica,3,2,2,2958
17,persona_17,31,M,Cajica,0,5,1,6789
18,persona_18,45,M,Tenjo,0,4,2,2703
19,persona_19,58,M,Cajica,2,5,1,3144
20,persona_20,66,M,Tenjo,2,1,0,3679
21,persona_21,24,F,Chía,2,1,2,4195
22,persona_22,22,F,Chía,0,4,1,5323
23,persona_23,65,M,Tenjo,2,0,0,3908
24,persona_24,26,F,Chía,1,1,1,1421
25,persona_25,43,F,Cajica,1,3,1,5471
26,persona_26,31,M,Chía,2,0,1,3822
27,persona_27,70,F,Zipa,1,1,1,1900
28,persona_28,68,M,Tenjo,1,5,1,6863
29,persona_29,69,F,Chía,2,1,2,6567
30,persona_30,32,M,Cajica,3,5,1,5594
31,persona_31,55,M,Chía,3,1,0,5817
32,persona_32,20,F,Tenjo,2,3,2,6304
33,persona_33,55,M,Bogotá,3,3,0,6515
34,persona_34,35,M,Cajica,2,0,2,2059
35,persona_35,46,M,Chía,1,1,0,6094
36,persona_36,69,M,Tenjo,1,0,0,1737
37,persona_37,53,M,Cajica,0,2,2,1112
38,persona_38,28,F,Chía,3,3,2,5291
39,persona_39,52,F,Chía,2,4,2,4888
40,persona_40,50,F,Chía,1,1,0,3766
41,persona_41,58,M,Tenjo,2,5,0,2511
42,persona_42,26,F,Cajica,0,5,0,2953
43,persona_43,45,F,Zipa,2,4,2,5167
44,persona_44,35,M,Chía,0,4,2,2193
45,persona_45,51,F,Bogotá,2,1,1,4910
46,persona_46,25,F,Tenjo,1,5,2,6630
47,persona_47,40,F,Tenjo,0,3,2,2398
48,persona_48,32,F,Tenjo,3,2,0,3717
49,persona_49,35,F,Zipa,1,4,2,6395
50,persona_50,53,M,Cajica,3,2,1,4465
51,persona_51,42,F,Tenjo,1,0,1,5647
52,persona_52,55,M,Bogotá,2,0,2,5565
53,persona_53,29,M,Cajica,3,1,0,2895
54,persona_54,39,M,Chía,2,1,0,6015
55,persona_55,35,F,Chía,1,3,1,4319
56,persona_56,47,F,Tenjo,0,0,1,911
57,persona_57,46,F,Cajica,1,5,1,4817
58,persona_58,37,M,Chía,3,1,0,6070
59,persona_59,32,F,Tenjo,3,2,2,4317
60,persona_60,27,F,Zipa,3,2,1,2829
61,persona_61,32,F,Zipa,1,2,1,2988
62,persona_62,24,F,Tenjo,0,2,1,5505
63,persona_63,59,F,Tenjo,3,1,1,4696
64,persona_64,54,F,Cajica,1,2,0,1765
65,persona_65,47,F,Cajica,3,4,0,4190
66,persona_66,30,M,Chía,2,2,0,4587
67,persona_67,60,F,Zipa,2,1,2,3424
68,persona_68,44,M,Zipa,1,2,0,6930
69,persona_69,45,M,Cajica,1,2,2,6114
70,persona_70,54,M,Tenjo,0,1,0,3770
71,persona_71,30,M,Chía,3,5,1,4677
72,persona_72,50,M,Cajica,3,0,2,4446
73,persona_73,68,F,Zipa,0,4,2,3780
74,persona_74,21,F,Cajica,2,0,1,4975
75,persona_75,65,F,Zipa,3,0,2,5898
76,persona_76,26,F,Zipa,3,1,2,2051
77,persona_77,42,M,Chía,3,5,0,4654
78,persona_78,28,M,Zipa,0,5,0,2361
79,persona_79,27,F,Chía,2,2,0,2105
80,persona_80,53,M,Zipa,1,4,1,5407
81,persona_81,48,F,Zipa,0,5,0,4034
82,persona_82,55,F,Cajica,2,2,0,2014
83,persona_83,21,F,Chía,1,5,0,4662
84,persona_84,40,F,Bogotá,1,0,2,4875
85,persona_85,63,M,Chía,2,2,1,1057
86,persona_86,54,M,Bogotá,1,5,1,934
87,persona_87,55,F,Bogotá,2,2,1,5927
88,persona_88,30,M,Cajica,1,0,0,5890
